"Plot Title: 10720196"
"#","Date Time, GMT+02:00","Low Range, μS/cm (LGR S/N: 10720196, SEN S/N: 10720196)","Temp, °C (LGR S/N: 10720196, SEN S/N: 10720196)"
286,07/22/16 07:09:04 em,5.6,22.35
287,07/22/16 07:09:05 em,5.5,22.46
288,07/22/16 07:09:06 em,5.6,22.57
289,07/22/16 07:09:07 em,5.6,22.68
290,07/22/16 07:09:08 em,5.6,22.79
291,07/22/16 07:09:09 em,5.6,22.88
292,07/22/16 07:09:10 em,5.6,22.97
293,07/22/16 07:09:11 em,5.6,23.04
294,07/22/16 07:09:12 em,5.6,23.13
295,07/22/16 07:09:13 em,5.6,23.20
296,07/22/16 07:09:14 em,5.6,23.28
297,07/22/16 07:09:15 em,5.6,23.34
298,07/22/16 07:09:16 em,5.6,23.41
299,07/22/16 07:09:17 em,5.6,23.47
300,07/22/16 07:09:18 em,5.7,23.52
301,07/22/16 07:09:19 em,5.7,23.57
302,07/22/16 07:09:20 em,5.6,23.63
303,07/22/16 07:09:21 em,5.7,23.68
304,07/22/16 07:09:22 em,5.7,23.72
305,07/22/16 07:09:23 em,5.7,23.75
306,07/22/16 07:09:24 em,5.7,23.79
307,07/22/16 07:09:25 em,5.7,23.83
308,07/22/16 07:09:26 em,5.6,23.86
309,07/22/16 07:09:27 em,5.7,23.90
310,07/22/16 07:09:28 em,5.7,23.92
311,07/22/16 07:09:29 em,5.7,23.96
312,07/22/16 07:09:30 em,5.8,23.97
313,07/22/16 07:09:31 em,5.8,24.00
314,07/22/16 07:09:32 em,5.7,24.03
315,07/22/16 07:09:33 em,5.6,24.04
316,07/22/16 07:09:34 em,5.7,24.06
317,07/22/16 07:09:35 em,5.7,24.08
318,07/22/16 07:09:36 em,5.7,24.09
319,07/22/16 07:09:37 em,5.7,24.10
320,07/22/16 07:09:38 em,5.7,24.12
321,07/22/16 07:09:39 em,5.8,24.13
322,07/22/16 07:09:40 em,5.8,24.14
323,07/22/16 07:09:41 em,5.8,24.16
324,07/22/16 07:09:42 em,5.7,24.17
325,07/22/16 07:09:43 em,5.7,24.17
326,07/22/16 07:09:44 em,5.7,24.18
327,07/22/16 07:09:45 em,5.7,24.18
328,07/22/16 07:09:46 em,5.7,24.19
329,07/22/16 07:09:47 em,5.8,24.19
330,07/22/16 07:09:48 em,5.7,24.19
331,07/22/16 07:09:49 em,5.7,24.19
332,07/22/16 07:09:50 em,5.7,24.21
333,07/22/16 07:09:51 em,5.7,24.21
334,07/22/16 07:09:52 em,5.8,24.21
335,07/22/16 07:09:53 em,5.8,24.21
336,07/22/16 07:09:54 em,5.8,24.21
337,07/22/16 07:09:55 em,5.7,24.21
338,07/22/16 07:09:56 em,5.7,24.21
339,07/22/16 07:09:57 em,5.8,24.21
340,07/22/16 07:09:58 em,5.7,24.19
341,07/22/16 07:09:59 em,5.8,24.19
342,07/22/16 07:10:00 em,5.7,24.19
343,07/22/16 07:10:01 em,5.8,24.19
344,07/22/16 07:10:02 em,5.7,24.18
345,07/22/16 07:10:03 em,5.8,24.18
346,07/22/16 07:10:04 em,5.7,24.18
347,07/22/16 07:10:05 em,5.7,24.17
348,07/22/16 07:10:06 em,5.7,24.17
349,07/22/16 07:10:07 em,5.7,24.17
350,07/22/16 07:10:08 em,5.8,24.16
351,07/22/16 07:10:09 em,5.7,24.16
352,07/22/16 07:10:10 em,5.7,24.14
353,07/22/16 07:10:11 em,5.7,24.14
354,07/22/16 07:10:12 em,5.7,24.14
355,07/22/16 07:10:13 em,5.7,24.13
356,07/22/16 07:10:14 em,5.7,24.12
357,07/22/16 07:10:15 em,5.7,24.12
358,07/22/16 07:10:16 em,5.7,24.10
359,07/22/16 07:10:17 em,5.8,24.10
360,07/22/16 07:10:18 em,5.7,24.09
361,07/22/16 07:10:19 em,5.8,24.09
362,07/22/16 07:10:20 em,5.7,24.08
363,07/22/16 07:10:21 em,5.7,24.08
364,07/22/16 07:10:22 em,5.7,24.06
365,07/22/16 07:10:23 em,5.7,24.06
366,07/22/16 07:10:24 em,5.7,24.05
367,07/22/16 07:10:25 em,5.7,24.05
368,07/22/16 07:10:26 em,5.7,24.04
369,07/22/16 07:10:27 em,5.7,24.03
370,07/22/16 07:10:28 em,5.7,24.03
371,07/22/16 07:10:29 em,5.7,24.01
372,07/22/16 07:10:30 em,5.7,24.01
373,07/22/16 07:10:31 em,5.7,24.00
374,07/22/16 07:10:32 em,5.7,23.99
375,07/22/16 07:10:33 em,5.7,23.99
376,07/22/16 07:10:34 em,5.7,23.97
377,07/22/16 07:10:35 em,5.7,23.96
378,07/22/16 07:10:36 em,5.7,23.96
379,07/22/16 07:10:37 em,5.7,23.95
380,07/22/16 07:10:38 em,5.7,23.95
381,07/22/16 07:10:39 em,5.7,23.94
382,07/22/16 07:10:40 em,5.7,23.92
383,07/22/16 07:10:41 em,5.7,23.92
384,07/22/16 07:10:42 em,5.7,23.91
385,07/22/16 07:10:43 em,5.6,23.91
386,07/22/16 07:10:44 em,5.7,23.90
387,07/22/16 07:10:45 em,5.7,23.88
388,07/22/16 07:10:46 em,5.7,23.87
389,07/22/16 07:10:47 em,5.7,23.87
390,07/22/16 07:10:48 em,5.7,23.86
391,07/22/16 07:10:49 em,5.7,23.86
392,07/22/16 07:10:50 em,5.7,23.84
393,07/22/16 07:10:51 em,5.7,23.83
394,07/22/16 07:10:52 em,5.7,23.83
395,07/22/16 07:10:53 em,5.7,23.82
396,07/22/16 07:10:54 em,5.6,23.82
397,07/22/16 07:10:55 em,5.7,23.81
398,07/22/16 07:10:56 em,5.7,23.81
399,07/22/16 07:10:57 em,5.7,23.79
400,07/22/16 07:10:58 em,5.7,23.78
401,07/22/16 07:10:59 em,5.6,23.78
402,07/22/16 07:11:00 em,5.7,23.77
403,07/22/16 07:11:01 em,5.7,23.75
404,07/22/16 07:11:02 em,5.7,23.75
405,07/22/16 07:11:03 em,5.7,23.74
406,07/22/16 07:11:04 em,5.6,23.74
407,07/22/16 07:11:05 em,5.7,23.73
408,07/22/16 07:11:06 em,5.7,23.72
409,07/22/16 07:11:07 em,5.6,23.72
410,07/22/16 07:11:08 em,5.7,23.70
411,07/22/16 07:11:09 em,5.7,23.70
412,07/22/16 07:11:10 em,5.6,23.69
413,07/22/16 07:11:11 em,5.7,23.69
414,07/22/16 07:11:12 em,5.7,23.68
415,07/22/16 07:11:13 em,5.6,23.66
416,07/22/16 07:11:14 em,5.6,23.66
417,07/22/16 07:11:15 em,5.6,23.65
418,07/22/16 07:11:16 em,5.7,23.65
419,07/22/16 07:11:17 em,5.6,23.64
420,07/22/16 07:11:18 em,5.7,23.63
421,07/22/16 07:11:19 em,5.7,23.63
422,07/22/16 07:11:20 em,5.7,23.61
423,07/22/16 07:11:21 em,5.7,23.61
424,07/22/16 07:11:22 em,5.7,23.60
425,07/22/16 07:11:23 em,5.6,23.60
426,07/22/16 07:11:24 em,5.6,23.59
427,07/22/16 07:11:25 em,5.6,23.59
428,07/22/16 07:11:26 em,5.6,23.57
429,07/22/16 07:11:27 em,5.6,23.57
430,07/22/16 07:11:28 em,5.6,23.56
431,07/22/16 07:11:29 em,5.6,23.55
432,07/22/16 07:11:30 em,5.6,23.55
433,07/22/16 07:11:31 em,5.7,23.53
434,07/22/16 07:11:32 em,5.6,23.53
435,07/22/16 07:11:33 em,5.7,23.52
436,07/22/16 07:11:34 em,5.7,23.52
437,07/22/16 07:11:35 em,5.6,23.51
438,07/22/16 07:11:36 em,5.7,23.51
439,07/22/16 07:11:37 em,5.6,23.50
440,07/22/16 07:11:38 em,5.6,23.50
441,07/22/16 07:11:39 em,5.6,23.48
442,07/22/16 07:11:40 em,5.7,23.48
443,07/22/16 07:11:41 em,5.6,23.47
444,07/22/16 07:11:42 em,5.6,23.46
445,07/22/16 07:11:43 em,5.6,23.46
446,07/22/16 07:11:44 em,5.6,23.44
447,07/22/16 07:11:45 em,5.6,23.44
448,07/22/16 07:11:46 em,5.6,23.43
449,07/22/16 07:11:47 em,5.7,23.43
450,07/22/16 07:11:48 em,5.7,23.42
451,07/22/16 07:11:49 em,5.7,23.41
452,07/22/16 07:11:50 em,5.8,23.41
453,07/22/16 07:11:51 em,32.1,17.33
454,07/22/16 07:11:52 em,33.4,17.50
455,07/22/16 07:11:53 em,32.9,16.76
456,07/22/16 07:11:54 em,33.3,16.66
457,07/22/16 07:11:55 em,33.6,16.75
458,07/22/16 07:11:56 em,33.8,16.81
