"Plot Title: 10720196"
"#","Date Time, GMT+02:00","Low Range, μS/cm (LGR S/N: 10720196, SEN S/N: 10720196)","Temp, °C (LGR S/N: 10720196, SEN S/N: 10720196)"
9815,07/22/16 09:47:53 em,14.9,19.23
9816,07/22/16 09:47:54 em,14.9,19.23
9817,07/22/16 09:47:55 em,14.9,19.23
9818,07/22/16 09:47:56 em,14.9,19.23
9819,07/22/16 09:47:57 em,14.9,19.23
9820,07/22/16 09:47:58 em,14.9,19.23
9821,07/22/16 09:47:59 em,14.9,19.23
9822,07/22/16 09:48:00 em,15.1,19.24
9823,07/22/16 09:48:01 em,14.9,19.24
9824,07/22/16 09:48:02 em,14.8,19.23
9825,07/22/16 09:48:03 em,14.9,19.23
9826,07/22/16 09:48:04 em,14.9,19.23
9827,07/22/16 09:48:05 em,14.9,19.24
9828,07/22/16 09:48:06 em,14.9,19.24
9829,07/22/16 09:48:07 em,14.9,19.23
9830,07/22/16 09:48:08 em,14.9,19.24
9831,07/22/16 09:48:09 em,14.9,19.24
9832,07/22/16 09:48:10 em,14.9,19.23
9833,07/22/16 09:48:11 em,14.9,19.24
9834,07/22/16 09:48:12 em,14.9,19.24
9835,07/22/16 09:48:13 em,14.9,19.23
9836,07/22/16 09:48:14 em,14.8,19.23
9837,07/22/16 09:48:15 em,14.9,19.24
9838,07/22/16 09:48:16 em,14.9,19.23
9839,07/22/16 09:48:17 em,14.9,19.24
9840,07/22/16 09:48:18 em,14.8,19.23
9841,07/22/16 09:48:19 em,14.9,19.23
9842,07/22/16 09:48:20 em,14.9,19.24
9843,07/22/16 09:48:21 em,14.9,19.24
9844,07/22/16 09:48:22 em,14.9,19.24
9845,07/22/16 09:48:23 em,14.9,19.23
9846,07/22/16 09:48:24 em,14.9,19.23
9847,07/22/16 09:48:25 em,14.8,19.24
9848,07/22/16 09:48:26 em,14.9,19.24
9849,07/22/16 09:48:27 em,14.9,19.24
9850,07/22/16 09:48:28 em,14.9,19.24
9851,07/22/16 09:48:29 em,14.8,19.24
9852,07/22/16 09:48:30 em,14.9,19.24
9853,07/22/16 09:48:31 em,14.9,19.24
9854,07/22/16 09:48:32 em,14.9,19.24
9855,07/22/16 09:48:33 em,14.9,19.24
9856,07/22/16 09:48:34 em,14.9,19.24
9857,07/22/16 09:48:35 em,14.9,19.24
9858,07/22/16 09:48:36 em,14.9,19.24
9859,07/22/16 09:48:37 em,14.9,19.24
9860,07/22/16 09:48:38 em,14.9,19.24
9861,07/22/16 09:48:39 em,14.9,19.24
9862,07/22/16 09:48:40 em,14.9,19.24
9863,07/22/16 09:48:41 em,14.9,19.24
9864,07/22/16 09:48:42 em,14.9,19.24
9865,07/22/16 09:48:43 em,14.8,19.24
9866,07/22/16 09:48:44 em,14.9,19.24
9867,07/22/16 09:48:45 em,14.9,19.24
9868,07/22/16 09:48:46 em,14.9,19.24
9869,07/22/16 09:48:47 em,14.8,19.24
9870,07/22/16 09:48:48 em,14.8,19.24
9871,07/22/16 09:48:49 em,14.9,19.24
9872,07/22/16 09:48:50 em,14.9,19.24
9873,07/22/16 09:48:51 em,14.9,19.24
9874,07/22/16 09:48:52 em,14.9,19.24
9875,07/22/16 09:48:53 em,14.8,19.24
9876,07/22/16 09:48:54 em,14.9,19.24
9877,07/22/16 09:48:55 em,14.9,19.24
9878,07/22/16 09:48:56 em,14.9,19.24
9879,07/22/16 09:48:57 em,14.9,19.24
9880,07/22/16 09:48:58 em,14.9,19.24
9881,07/22/16 09:48:59 em,14.9,19.24
9882,07/22/16 09:49:00 em,14.9,19.24
9883,07/22/16 09:49:01 em,14.9,19.24
9884,07/22/16 09:49:02 em,14.9,19.24
9885,07/22/16 09:49:03 em,14.9,19.24
9886,07/22/16 09:49:04 em,14.9,19.24
9887,07/22/16 09:49:05 em,14.9,19.24
9888,07/22/16 09:49:06 em,14.9,19.24
9889,07/22/16 09:49:07 em,14.9,19.24
9890,07/22/16 09:49:08 em,14.8,19.24
9891,07/22/16 09:49:09 em,14.9,19.24
9892,07/22/16 09:49:10 em,14.9,19.24
9893,07/22/16 09:49:11 em,14.9,19.24
9894,07/22/16 09:49:12 em,14.9,19.24
9895,07/22/16 09:49:13 em,14.9,19.24
9896,07/22/16 09:49:14 em,14.9,19.24
9897,07/22/16 09:49:15 em,14.8,19.24
9898,07/22/16 09:49:16 em,14.9,19.24
9899,07/22/16 09:49:17 em,14.9,19.24
9900,07/22/16 09:49:18 em,14.8,19.24
9901,07/22/16 09:49:19 em,14.9,19.24
9902,07/22/16 09:49:20 em,14.9,19.24
9903,07/22/16 09:49:21 em,14.9,19.24
9904,07/22/16 09:49:22 em,14.9,19.24
9905,07/22/16 09:49:23 em,14.9,19.24
9906,07/22/16 09:49:24 em,14.9,19.26
9907,07/22/16 09:49:25 em,14.9,19.24
9908,07/22/16 09:49:26 em,14.8,19.24
9909,07/22/16 09:49:27 em,14.9,19.24
9910,07/22/16 09:49:28 em,14.9,19.26
9911,07/22/16 09:49:29 em,14.8,19.24
9912,07/22/16 09:49:30 em,14.9,19.24
9913,07/22/16 09:49:31 em,14.9,19.24
9914,07/22/16 09:49:32 em,14.9,19.26
9915,07/22/16 09:49:33 em,14.9,19.24
9916,07/22/16 09:49:34 em,14.9,19.24
9917,07/22/16 09:49:35 em,14.9,19.24
9918,07/22/16 09:49:36 em,14.8,19.24
9919,07/22/16 09:49:37 em,14.8,19.26
9920,07/22/16 09:49:38 em,14.9,19.24
9921,07/22/16 09:49:39 em,14.8,19.26
9922,07/22/16 09:49:40 em,14.8,19.26
9923,07/22/16 09:49:41 em,14.8,19.26
9924,07/22/16 09:49:42 em,14.9,19.24
9925,07/22/16 09:49:43 em,14.9,19.24
9926,07/22/16 09:49:44 em,14.8,19.24
9927,07/22/16 09:49:45 em,14.9,19.26
9928,07/22/16 09:49:46 em,14.9,19.26
9929,07/22/16 09:49:47 em,14.9,19.26
9930,07/22/16 09:49:48 em,14.9,19.26
9931,07/22/16 09:49:49 em,14.9,19.26
9932,07/22/16 09:49:50 em,14.9,19.26
9933,07/22/16 09:49:51 em,14.9,19.26
9934,07/22/16 09:49:52 em,14.9,19.26
9935,07/22/16 09:49:53 em,14.9,19.26
9936,07/22/16 09:49:54 em,14.9,19.26
9937,07/22/16 09:49:55 em,14.9,19.24
9938,07/22/16 09:49:56 em,14.9,19.26
9939,07/22/16 09:49:57 em,14.8,19.26
9940,07/22/16 09:49:58 em,14.9,19.26
9941,07/22/16 09:49:59 em,14.9,19.26
9942,07/22/16 09:50:00 em,14.8,19.24
9943,07/22/16 09:50:01 em,14.9,19.26
9944,07/22/16 09:50:02 em,14.9,19.26
9945,07/22/16 09:50:03 em,14.9,19.26
9946,07/22/16 09:50:04 em,14.8,19.26
9947,07/22/16 09:50:05 em,14.9,19.26
9948,07/22/16 09:50:06 em,14.9,19.26
9949,07/22/16 09:50:07 em,14.9,19.26
9950,07/22/16 09:50:08 em,14.9,19.26
9951,07/22/16 09:50:09 em,14.9,19.26
9952,07/22/16 09:50:10 em,14.9,19.26
9953,07/22/16 09:50:11 em,14.9,19.26
9954,07/22/16 09:50:12 em,14.9,19.26
9955,07/22/16 09:50:13 em,14.9,19.26
9956,07/22/16 09:50:14 em,14.9,19.26
9957,07/22/16 09:50:15 em,14.9,19.26
9958,07/22/16 09:50:16 em,14.9,19.26
9959,07/22/16 09:50:17 em,14.9,19.26
9960,07/22/16 09:50:18 em,14.9,19.26
9961,07/22/16 09:50:19 em,14.9,19.26
9962,07/22/16 09:50:20 em,14.9,19.26
9963,07/22/16 09:50:21 em,14.8,19.26
9964,07/22/16 09:50:22 em,14.9,19.26
9965,07/22/16 09:50:23 em,14.8,19.26
9966,07/22/16 09:50:24 em,14.9,19.26
9967,07/22/16 09:50:25 em,14.9,19.26
9968,07/22/16 09:50:26 em,14.8,19.26
9969,07/22/16 09:50:27 em,14.9,19.26
9970,07/22/16 09:50:28 em,14.9,19.26
9971,07/22/16 09:50:29 em,14.9,19.26
9972,07/22/16 09:50:30 em,14.9,19.26
9973,07/22/16 09:50:31 em,14.9,19.26
9974,07/22/16 09:50:32 em,14.8,19.26
9975,07/22/16 09:50:33 em,14.9,19.26
9976,07/22/16 09:50:34 em,14.9,19.26
9977,07/22/16 09:50:35 em,14.9,19.26
9978,07/22/16 09:50:36 em,14.9,19.26
9979,07/22/16 09:50:37 em,14.9,19.26
9980,07/22/16 09:50:38 em,14.9,19.26
9981,07/22/16 09:50:39 em,14.9,19.26
9982,07/22/16 09:50:40 em,14.9,19.26
9983,07/22/16 09:50:41 em,14.9,19.26
9984,07/22/16 09:50:42 em,14.9,19.26
9985,07/22/16 09:50:43 em,14.9,19.26
9986,07/22/16 09:50:44 em,14.9,19.26
9987,07/22/16 09:50:45 em,14.8,19.26
9988,07/22/16 09:50:46 em,14.9,19.26
9989,07/22/16 09:50:47 em,14.9,19.26
9990,07/22/16 09:50:48 em,14.9,19.26
9991,07/22/16 09:50:49 em,14.9,19.26
9992,07/22/16 09:50:50 em,14.9,19.26
9993,07/22/16 09:50:51 em,14.8,19.26
9994,07/22/16 09:50:52 em,14.8,19.26
9995,07/22/16 09:50:53 em,14.9,19.26
9996,07/22/16 09:50:54 em,14.9,19.26
9997,07/22/16 09:50:55 em,14.9,19.26
9998,07/22/16 09:50:56 em,14.9,19.27
9999,07/22/16 09:50:57 em,14.9,19.26
10000,07/22/16 09:50:58 em,14.8,19.26
10001,07/22/16 09:50:59 em,14.9,19.26
10002,07/22/16 09:51:00 em,14.8,19.26
10003,07/22/16 09:51:01 em,14.9,19.26
10004,07/22/16 09:51:02 em,14.9,19.27
10005,07/22/16 09:51:03 em,14.9,19.26
10006,07/22/16 09:51:04 em,14.9,19.26
10007,07/22/16 09:51:05 em,14.9,19.26
10008,07/22/16 09:51:06 em,14.9,19.26
10009,07/22/16 09:51:07 em,14.9,19.26
10010,07/22/16 09:51:08 em,14.9,19.26
10011,07/22/16 09:51:09 em,14.9,19.27
10012,07/22/16 09:51:10 em,14.9,19.26
10013,07/22/16 09:51:11 em,14.9,19.26
10014,07/22/16 09:51:12 em,14.9,19.26
10015,07/22/16 09:51:13 em,14.9,19.26
10016,07/22/16 09:51:14 em,14.9,19.26
10017,07/22/16 09:51:15 em,14.9,19.26
10018,07/22/16 09:51:16 em,14.9,19.27
10019,07/22/16 09:51:17 em,14.9,19.27
10020,07/22/16 09:51:18 em,14.9,19.27
10021,07/22/16 09:51:19 em,14.9,19.27
10022,07/22/16 09:51:20 em,14.8,19.27
10023,07/22/16 09:51:21 em,14.9,19.27
10024,07/22/16 09:51:22 em,14.9,19.26
10025,07/22/16 09:51:23 em,14.9,19.27
10026,07/22/16 09:51:24 em,14.9,19.27
10027,07/22/16 09:51:25 em,14.9,19.27
10028,07/22/16 09:51:26 em,14.9,19.26
10029,07/22/16 09:51:27 em,14.9,19.27
10030,07/22/16 09:51:28 em,14.9,19.27
10031,07/22/16 09:51:29 em,14.9,19.27
10032,07/22/16 09:51:30 em,14.9,19.27
10033,07/22/16 09:51:31 em,14.9,19.27
10034,07/22/16 09:51:32 em,14.9,19.26
10035,07/22/16 09:51:33 em,14.9,19.27
10036,07/22/16 09:51:34 em,14.9,19.27
10037,07/22/16 09:51:35 em,14.9,19.27
10038,07/22/16 09:51:36 em,15.0,19.27
10039,07/22/16 09:51:37 em,14.9,19.26
10040,07/22/16 09:51:38 em,14.9,19.26
10041,07/22/16 09:51:39 em,14.9,19.27
10042,07/22/16 09:51:40 em,14.9,19.27
10043,07/22/16 09:51:41 em,14.8,19.27
10044,07/22/16 09:51:42 em,14.9,19.27
10045,07/22/16 09:51:43 em,14.9,19.27
10046,07/22/16 09:51:44 em,14.9,19.27
10047,07/22/16 09:51:45 em,14.9,19.27
10048,07/22/16 09:51:46 em,14.9,19.27
10049,07/22/16 09:51:47 em,14.9,19.27
10050,07/22/16 09:51:48 em,14.9,19.27
10051,07/22/16 09:51:49 em,14.9,19.27
10052,07/22/16 09:51:50 em,14.9,19.27
10053,07/22/16 09:51:51 em,14.9,19.27
10054,07/22/16 09:51:52 em,14.9,19.27
10055,07/22/16 09:51:53 em,14.9,19.27
10056,07/22/16 09:51:54 em,14.9,19.27
10057,07/22/16 09:51:55 em,14.9,19.27
10058,07/22/16 09:51:56 em,14.9,19.27
10059,07/22/16 09:51:57 em,14.9,19.27
10060,07/22/16 09:51:58 em,14.9,19.27
10061,07/22/16 09:51:59 em,14.9,19.27
10062,07/22/16 09:52:00 em,14.9,19.27
10063,07/22/16 09:52:01 em,14.9,19.27
10064,07/22/16 09:52:02 em,14.9,19.27
10065,07/22/16 09:52:03 em,14.9,19.27
10066,07/22/16 09:52:04 em,14.9,19.27
10067,07/22/16 09:52:05 em,14.9,19.27
10068,07/22/16 09:52:06 em,14.8,19.27
10069,07/22/16 09:52:07 em,14.9,19.27
10070,07/22/16 09:52:08 em,14.9,19.27
10071,07/22/16 09:52:09 em,14.9,19.27
10072,07/22/16 09:52:10 em,14.9,19.27
10073,07/22/16 09:52:11 em,14.9,19.27
10074,07/22/16 09:52:12 em,14.8,19.27
10075,07/22/16 09:52:13 em,14.9,19.27
10076,07/22/16 09:52:14 em,14.8,19.27
10077,07/22/16 09:52:15 em,14.9,19.27
10078,07/22/16 09:52:16 em,14.9,19.27
10079,07/22/16 09:52:17 em,14.9,19.27
10080,07/22/16 09:52:18 em,14.8,19.27
10081,07/22/16 09:52:19 em,14.9,19.27
10082,07/22/16 09:52:20 em,14.9,19.27
10083,07/22/16 09:52:21 em,14.9,19.27
10084,07/22/16 09:52:22 em,14.9,19.27
10085,07/22/16 09:52:23 em,14.9,19.27
10086,07/22/16 09:52:24 em,14.9,19.27
10087,07/22/16 09:52:25 em,14.9,19.27
10088,07/22/16 09:52:26 em,14.9,19.27
10089,07/22/16 09:52:27 em,14.9,19.27
10090,07/22/16 09:52:28 em,14.9,19.27
10091,07/22/16 09:52:29 em,14.9,19.27
10092,07/22/16 09:52:30 em,14.9,19.27
10093,07/22/16 09:52:31 em,14.9,19.27
10094,07/22/16 09:52:32 em,14.9,19.27
10095,07/22/16 09:52:33 em,14.8,19.27
10096,07/22/16 09:52:34 em,14.9,19.27
10097,07/22/16 09:52:35 em,14.9,19.27
10098,07/22/16 09:52:36 em,14.9,19.27
10099,07/22/16 09:52:37 em,14.9,19.27
10100,07/22/16 09:52:38 em,14.9,19.27
10101,07/22/16 09:52:39 em,14.9,19.27
10102,07/22/16 09:52:40 em,14.9,19.27
10103,07/22/16 09:52:41 em,14.9,19.27
10104,07/22/16 09:52:42 em,14.9,19.27
10105,07/22/16 09:52:43 em,14.9,19.27
10106,07/22/16 09:52:44 em,15.0,19.28
10107,07/22/16 09:52:45 em,14.9,19.27
10108,07/22/16 09:52:46 em,14.9,19.28
10109,07/22/16 09:52:47 em,14.8,19.27
10110,07/22/16 09:52:48 em,14.9,19.27
10111,07/22/16 09:52:49 em,14.9,19.28
10112,07/22/16 09:52:50 em,15.0,19.28
10113,07/22/16 09:52:51 em,14.9,19.28
10114,07/22/16 09:52:52 em,14.9,19.27
10115,07/22/16 09:52:53 em,14.9,19.27
10116,07/22/16 09:52:54 em,14.9,19.27
10117,07/22/16 09:52:55 em,14.9,19.28
10118,07/22/16 09:52:56 em,14.9,19.28
10119,07/22/16 09:52:57 em,14.9,19.27
10120,07/22/16 09:52:58 em,14.8,19.28
10121,07/22/16 09:52:59 em,14.8,19.28
10122,07/22/16 09:53:00 em,14.9,19.28
10123,07/22/16 09:53:01 em,14.8,19.28
10124,07/22/16 09:53:02 em,14.9,19.28
10125,07/22/16 09:53:03 em,14.9,19.27
10126,07/22/16 09:53:04 em,14.9,19.28
10127,07/22/16 09:53:05 em,14.9,19.28
10128,07/22/16 09:53:06 em,14.9,19.27
10129,07/22/16 09:53:07 em,14.9,19.28
10130,07/22/16 09:53:08 em,14.9,19.28
10131,07/22/16 09:53:09 em,14.9,19.28
10132,07/22/16 09:53:10 em,14.9,19.28
10133,07/22/16 09:53:11 em,14.9,19.27
10134,07/22/16 09:53:12 em,14.9,19.28
10135,07/22/16 09:53:13 em,14.9,19.28
10136,07/22/16 09:53:14 em,14.9,19.27
10137,07/22/16 09:53:15 em,14.9,19.28
10138,07/22/16 09:53:16 em,14.9,19.28
10139,07/22/16 09:53:17 em,14.9,19.28
10140,07/22/16 09:53:18 em,14.9,19.27
10141,07/22/16 09:53:19 em,14.9,19.28
10142,07/22/16 09:53:20 em,14.9,19.28
10143,07/22/16 09:53:21 em,14.9,19.28
10144,07/22/16 09:53:22 em,14.9,19.28
10145,07/22/16 09:53:23 em,14.9,19.28
10146,07/22/16 09:53:24 em,14.9,19.28
10147,07/22/16 09:53:25 em,14.9,19.28
10148,07/22/16 09:53:26 em,14.9,19.28
10149,07/22/16 09:53:27 em,14.9,19.28
10150,07/22/16 09:53:28 em,14.9,19.28
10151,07/22/16 09:53:29 em,14.9,19.28
10152,07/22/16 09:53:30 em,14.9,19.28
10153,07/22/16 09:53:31 em,14.9,19.28
10154,07/22/16 09:53:32 em,14.8,19.28
10155,07/22/16 09:53:33 em,14.9,19.28
10156,07/22/16 09:53:34 em,14.9,19.28
10157,07/22/16 09:53:35 em,14.9,19.28
10158,07/22/16 09:53:36 em,14.8,19.28
10159,07/22/16 09:53:37 em,14.9,19.28
10160,07/22/16 09:53:38 em,14.9,19.28
10161,07/22/16 09:53:39 em,14.9,19.28
10162,07/22/16 09:53:40 em,14.9,19.28
10163,07/22/16 09:53:41 em,14.9,19.28
10164,07/22/16 09:53:42 em,14.9,19.28
10165,07/22/16 09:53:43 em,14.9,19.28
10166,07/22/16 09:53:44 em,14.9,19.28
10167,07/22/16 09:53:45 em,14.9,19.28
10168,07/22/16 09:53:46 em,14.9,19.28
10169,07/22/16 09:53:47 em,14.9,19.28
10170,07/22/16 09:53:48 em,14.9,19.28
10171,07/22/16 09:53:49 em,14.9,19.28
10172,07/22/16 09:53:50 em,14.9,19.28
10173,07/22/16 09:53:51 em,14.9,19.28
10174,07/22/16 09:53:52 em,14.9,19.28
10175,07/22/16 09:53:53 em,14.9,19.28
10176,07/22/16 09:53:54 em,14.9,19.28
10177,07/22/16 09:53:55 em,14.9,19.28
10178,07/22/16 09:53:56 em,14.9,19.28
10179,07/22/16 09:53:57 em,14.9,19.28
10180,07/22/16 09:53:58 em,14.9,19.28
10181,07/22/16 09:53:59 em,14.9,19.28
10182,07/22/16 09:54:00 em,14.8,19.28
10183,07/22/16 09:54:01 em,14.9,19.28
10184,07/22/16 09:54:02 em,14.9,19.28
10185,07/22/16 09:54:03 em,14.8,19.28
10186,07/22/16 09:54:04 em,14.9,19.28
10187,07/22/16 09:54:05 em,14.9,19.28
10188,07/22/16 09:54:06 em,14.9,19.28
10189,07/22/16 09:54:07 em,14.9,19.28
10190,07/22/16 09:54:08 em,14.9,19.28
10191,07/22/16 09:54:09 em,14.9,19.28
10192,07/22/16 09:54:10 em,14.9,19.28
10193,07/22/16 09:54:11 em,14.9,19.28
10194,07/22/16 09:54:12 em,14.9,19.28
10195,07/22/16 09:54:13 em,14.9,19.28
10196,07/22/16 09:54:14 em,14.8,19.28
10197,07/22/16 09:54:15 em,15.0,19.28
10198,07/22/16 09:54:16 em,14.9,19.28
10199,07/22/16 09:54:17 em,14.9,19.28
10200,07/22/16 09:54:18 em,14.9,19.28
10201,07/22/16 09:54:19 em,14.9,19.28
10202,07/22/16 09:54:20 em,14.9,19.28
10203,07/22/16 09:54:21 em,14.9,19.28
10204,07/22/16 09:54:22 em,14.9,19.28
10205,07/22/16 09:54:23 em,15.0,19.28
10206,07/22/16 09:54:24 em,14.9,19.28
10207,07/22/16 09:54:25 em,14.9,19.28
10208,07/22/16 09:54:26 em,14.9,19.28
10209,07/22/16 09:54:27 em,15.0,19.28
10210,07/22/16 09:54:28 em,14.8,19.28
10211,07/22/16 09:54:29 em,14.9,19.28
10212,07/22/16 09:54:30 em,14.9,19.28
10213,07/22/16 09:54:31 em,14.9,19.28
10214,07/22/16 09:54:32 em,14.9,19.28
10215,07/22/16 09:54:33 em,14.9,19.30
10216,07/22/16 09:54:34 em,14.9,19.28
10217,07/22/16 09:54:35 em,14.9,19.28
10218,07/22/16 09:54:36 em,14.9,19.30
10219,07/22/16 09:54:37 em,14.9,19.30
10220,07/22/16 09:54:38 em,14.9,19.28
10221,07/22/16 09:54:39 em,14.9,19.30
10222,07/22/16 09:54:40 em,14.9,19.28
10223,07/22/16 09:54:41 em,14.9,19.28
10224,07/22/16 09:54:42 em,14.9,19.28
10225,07/22/16 09:54:43 em,14.9,19.28
10226,07/22/16 09:54:44 em,14.9,19.28
10227,07/22/16 09:54:45 em,14.9,19.28
10228,07/22/16 09:54:46 em,14.9,19.28
10229,07/22/16 09:54:47 em,14.9,19.28
10230,07/22/16 09:54:48 em,14.9,19.30
10231,07/22/16 09:54:49 em,14.9,19.28
10232,07/22/16 09:54:50 em,14.9,19.28
10233,07/22/16 09:54:51 em,14.9,19.30
10234,07/22/16 09:54:52 em,14.9,19.28
10235,07/22/16 09:54:53 em,14.9,19.30
10236,07/22/16 09:54:54 em,14.9,19.28
10237,07/22/16 09:54:55 em,15.0,19.28
10238,07/22/16 09:54:56 em,14.9,19.30
10239,07/22/16 09:54:57 em,14.9,19.30
10240,07/22/16 09:54:58 em,14.8,19.28
10241,07/22/16 09:54:59 em,14.9,19.28
10242,07/22/16 09:55:00 em,14.9,19.28
10243,07/22/16 09:55:01 em,14.9,19.28
10244,07/22/16 09:55:02 em,14.9,19.30
10245,07/22/16 09:55:03 em,14.9,19.28
10246,07/22/16 09:55:04 em,14.9,19.28
10247,07/22/16 09:55:05 em,14.9,19.28
10248,07/22/16 09:55:06 em,14.9,19.30
10249,07/22/16 09:55:07 em,14.9,19.28
10250,07/22/16 09:55:08 em,14.9,19.30
10251,07/22/16 09:55:09 em,14.9,19.30
10252,07/22/16 09:55:10 em,14.9,19.28
10253,07/22/16 09:55:11 em,14.9,19.28
10254,07/22/16 09:55:12 em,14.9,19.30
10255,07/22/16 09:55:13 em,14.9,19.28
10256,07/22/16 09:55:14 em,14.9,19.30
10257,07/22/16 09:55:15 em,14.9,19.28
10258,07/22/16 09:55:16 em,14.8,19.30
10259,07/22/16 09:55:17 em,14.9,19.30
10260,07/22/16 09:55:18 em,14.9,19.28
10261,07/22/16 09:55:19 em,14.9,19.28
10262,07/22/16 09:55:20 em,14.9,19.28
10263,07/22/16 09:55:21 em,14.9,19.30
10264,07/22/16 09:55:22 em,14.9,19.30
10265,07/22/16 09:55:23 em,14.9,19.30
10266,07/22/16 09:55:24 em,14.9,19.30
10267,07/22/16 09:55:25 em,14.9,19.30
10268,07/22/16 09:55:26 em,14.9,19.28
10269,07/22/16 09:55:27 em,15.0,19.30
10270,07/22/16 09:55:28 em,14.9,19.30
10271,07/22/16 09:55:29 em,14.9,19.30
10272,07/22/16 09:55:30 em,14.9,19.30
10273,07/22/16 09:55:31 em,14.9,19.28
10274,07/22/16 09:55:32 em,14.9,19.30
10275,07/22/16 09:55:33 em,14.9,19.30
10276,07/22/16 09:55:34 em,14.9,19.28
10277,07/22/16 09:55:35 em,14.9,19.30
10278,07/22/16 09:55:36 em,15.0,19.28
10279,07/22/16 09:55:37 em,14.9,19.30
10280,07/22/16 09:55:38 em,14.9,19.30
10281,07/22/16 09:55:39 em,14.9,19.30
10282,07/22/16 09:55:40 em,14.9,19.30
10283,07/22/16 09:55:41 em,14.9,19.30
10284,07/22/16 09:55:42 em,14.9,19.30
10285,07/22/16 09:55:43 em,14.9,19.30
10286,07/22/16 09:55:44 em,14.9,19.30
10287,07/22/16 09:55:45 em,14.9,19.30
10288,07/22/16 09:55:46 em,14.9,19.30
10289,07/22/16 09:55:47 em,14.9,19.30
10290,07/22/16 09:55:48 em,14.9,19.30
10291,07/22/16 09:55:49 em,14.9,19.30
10292,07/22/16 09:55:50 em,14.9,19.30
10293,07/22/16 09:55:51 em,14.9,19.30
10294,07/22/16 09:55:52 em,14.8,19.30
10295,07/22/16 09:55:53 em,14.9,19.30
10296,07/22/16 09:55:54 em,14.9,19.30
10297,07/22/16 09:55:55 em,14.9,19.30
10298,07/22/16 09:55:56 em,14.9,19.30
10299,07/22/16 09:55:57 em,14.9,19.30
10300,07/22/16 09:55:58 em,14.9,19.30
10301,07/22/16 09:55:59 em,14.9,19.30
10302,07/22/16 09:56:00 em,14.9,19.30
10303,07/22/16 09:56:01 em,15.0,19.30
10304,07/22/16 09:56:02 em,14.8,19.30
10305,07/22/16 09:56:03 em,14.9,19.30
10306,07/22/16 09:56:04 em,14.9,19.30
10307,07/22/16 09:56:05 em,14.9,19.30
10308,07/22/16 09:56:06 em,14.9,19.30
10309,07/22/16 09:56:07 em,15.0,19.30
10310,07/22/16 09:56:08 em,14.9,19.30
10311,07/22/16 09:56:09 em,14.9,19.30
10312,07/22/16 09:56:10 em,14.9,19.30
10313,07/22/16 09:56:11 em,14.9,19.30
10314,07/22/16 09:56:12 em,14.9,19.30
10315,07/22/16 09:56:13 em,14.9,19.30
10316,07/22/16 09:56:14 em,14.9,19.30
10317,07/22/16 09:56:15 em,14.9,19.30
10318,07/22/16 09:56:16 em,14.9,19.30
10319,07/22/16 09:56:17 em,14.9,19.30
10320,07/22/16 09:56:18 em,14.9,19.30
10321,07/22/16 09:56:19 em,14.9,19.30
10322,07/22/16 09:56:20 em,14.9,19.30
10323,07/22/16 09:56:21 em,14.9,19.31
10324,07/22/16 09:56:22 em,14.9,19.30
10325,07/22/16 09:56:23 em,14.9,19.30
10326,07/22/16 09:56:24 em,14.9,19.30
10327,07/22/16 09:56:25 em,14.9,19.30
10328,07/22/16 09:56:26 em,14.9,19.30
10329,07/22/16 09:56:27 em,14.9,19.30
10330,07/22/16 09:56:28 em,14.9,19.30
10331,07/22/16 09:56:29 em,14.8,19.30
10332,07/22/16 09:56:30 em,14.9,19.31
10333,07/22/16 09:56:31 em,14.9,19.30
10334,07/22/16 09:56:32 em,14.9,19.30
10335,07/22/16 09:56:33 em,14.9,19.30
10336,07/22/16 09:56:34 em,14.9,19.30
10337,07/22/16 09:56:35 em,14.9,19.30
10338,07/22/16 09:56:36 em,14.9,19.30
10339,07/22/16 09:56:37 em,15.0,19.30
10340,07/22/16 09:56:38 em,14.9,19.30
10341,07/22/16 09:56:39 em,14.9,19.30
10342,07/22/16 09:56:40 em,14.9,19.30
10343,07/22/16 09:56:41 em,14.9,19.30
10344,07/22/16 09:56:42 em,14.9,19.30
10345,07/22/16 09:56:43 em,14.9,19.30
10346,07/22/16 09:56:44 em,14.9,19.30
10347,07/22/16 09:56:45 em,14.9,19.30
10348,07/22/16 09:56:46 em,14.9,19.30
10349,07/22/16 09:56:47 em,14.8,19.31
10350,07/22/16 09:56:48 em,14.8,19.31
10351,07/22/16 09:56:49 em,14.9,19.31
10352,07/22/16 09:56:50 em,14.9,19.31
10353,07/22/16 09:56:51 em,14.9,19.30
10354,07/22/16 09:56:52 em,14.9,19.30
10355,07/22/16 09:56:53 em,14.9,19.31
10356,07/22/16 09:56:54 em,14.9,19.30
10357,07/22/16 09:56:55 em,14.9,19.30
10358,07/22/16 09:56:56 em,14.9,19.30
10359,07/22/16 09:56:57 em,14.9,19.30
10360,07/22/16 09:56:58 em,14.9,19.30
10361,07/22/16 09:56:59 em,14.9,19.31
10362,07/22/16 09:57:00 em,14.9,19.30
10363,07/22/16 09:57:01 em,14.9,19.30
10364,07/22/16 09:57:02 em,14.9,19.30
10365,07/22/16 09:57:03 em,14.9,19.30
10366,07/22/16 09:57:04 em,14.9,19.30
10367,07/22/16 09:57:05 em,14.9,19.31
10368,07/22/16 09:57:06 em,14.9,19.30
10369,07/22/16 09:57:07 em,14.9,19.31
10370,07/22/16 09:57:08 em,14.9,19.31
